[ 2025-06-09 11:44:07,410 ] 15 root - INFO - Initiate the data ingestion
[ 2025-06-09 11:44:10,745 ] 62 root - INFO - Performed Train test split
[ 2025-06-09 11:44:10,839 ] 75 root - INFO - Exported Train and Test data
[ 2025-06-09 11:44:10,839 ] 17 root - INFO - Data ingestion completed
[ 2025-06-09 11:44:10,855 ] 22 root - INFO - Data Validation Initiated
[ 2025-06-09 11:44:10,952 ] 37 root - INFO - The length of the schema is -2
[ 2025-06-09 11:44:10,952 ] 38 root - INFO - The length of the dataframe is 8844
[ 2025-06-09 11:44:10,952 ] 37 root - INFO - The length of the schema is -2
[ 2025-06-09 11:44:10,952 ] 38 root - INFO - The length of the dataframe is 2211
[ 2025-06-09 11:44:10,952 ] 50 root - INFO - The number of num columns in schema is {schema_num_columns}
[ 2025-06-09 11:44:10,952 ] 52 root - INFO - The number of num column in the dataframe is {num_columns_dataframe}
[ 2025-06-09 11:44:10,952 ] 50 root - INFO - The number of num columns in schema is {schema_num_columns}
[ 2025-06-09 11:44:10,952 ] 52 root - INFO - The number of num column in the dataframe is {num_columns_dataframe}
